Antrenor;Toplam;Birinci;Ikinci;Ucuncu;Kazanma_Yuzde;Ilk3_Yuzde
V.AKBULUT;123;15;19;17;12.2;41.46
E.ÇUKURKAŞ;122;15;23;17;12.3;45.08
A.ÇİFTÇİ;122;8;19;13;6.56;32.79
M.TÜRKOĞLU;121;12;20;16;9.92;39.67
SER.YILDIZ;121;16;14;18;13.22;39.67
T.İBİŞ;119;10;14;11;8.4;29.41
AT.GÖKÇE;118;20;13;7;16.95;33.9
S.EREN;118;17;12;11;14.41;33.9
M.E.AVCI;118;16;15;20;13.56;43.22
CE.POLAT;117;14;16;6;11.97;30.77
G.SÜTCÜ;117;15;17;16;12.82;41.03
KAD.BALTACI;115;22;13;13;19.13;41.74
Z.TEMUÇİN;115;16;14;12;13.91;36.52
H.TURAN;114;12;18;12;10.53;36.84
EM.KAYA;114;14;6;9;12.28;25.44
HAK.EL;114;2;8;5;1.75;13.16
E.Y.İYİDÖNER;113;5;6;9;4.42;17.7
EN.KARATAŞ;112;30;20;15;26.79;58.04
A.ÖZMÜŞ;110;7;4;10;6.36;19.09
F.BAKAY;109;16;16;14;14.68;42.2
KE.YILMAZ;109;12;7;17;11.01;33.03
HAS.ALTUNBAŞ;109;11;12;14;10.09;33.94
A.DİNÇ;108;4;2;9;3.7;13.89
SİN.ALTUNDAĞ;108;6;12;7;5.56;23.15
Ş.ÇELİK;107;15;17;9;14.02;38.32
K.KINAY;106;7;14;9;6.6;28.3
M.YALÇIN;106;7;6;8;6.6;19.81
R.COŞKUN;105;2;5;4;1.9;10.48
S.YUDUM;105;8;13;8;7.62;27.62
C.B.SERİNER;104;13;9;14;12.5;34.62
R.BECENE;103;6;6;11;5.83;22.33
H.TÜRKMAN;102;9;9;7;8.82;24.51
M.Y.YILDIRIM;102;8;12;15;7.84;34.31
BET.YILDIRIM;102;2;9;13;1.96;23.53
F.KİP;102;16;11;11;15.69;37.25
MEH.ÇELİK;101;10;13;12;9.9;34.65
H.DEMİRBAŞ;101;12;8;9;11.88;28.71
S.ŞAHYAZICI;101;8;10;10;7.92;27.72
AL.ÇİZİK;100;8;13;8;8.0;29.0
E.KARACA;100;9;11;7;9.0;27.0
Ü.ARSLAN;100;20;13;13;20.0;46.0
M.KORKMAZ;100;12;14;10;12.0;36.0
GÖK.GÖKÇE;97;3;7;6;3.09;16.49
FER.ALTIN;97;8;16;12;8.25;37.11
B.ŞANDAN;97;6;11;10;6.19;27.84
F.TURAN;97;16;13;10;16.49;40.21
T.AVCI;97;13;14;11;13.4;39.18
Ş.AKDUMAN;96;10;10;14;10.42;35.42
M.AYDOĞDİ;96;14;14;15;14.58;44.79
Ş.GÜMÜŞ;96;8;14;10;8.33;33.33
H.ACAR;96;6;7;11;6.25;25.0
A.KÜÇÜKAKSOY;95;14;14;14;14.74;44.21
A.E.BAŞ;95;9;1;4;9.47;14.74
M.TAMER;95;12;13;9;12.63;35.79
M.A.KAYA;94;6;4;11;6.38;22.34
A.E.AVCI;94;16;8;10;17.02;36.17
HAK.ASLAN;93;6;11;8;6.45;26.88
S.UYSAL;93;5;16;9;5.38;32.26
