At_Ismi;Toplam;Birinci;Ikinci;Ucuncu;Kazanma_Yuzde;Ilk3_Yuzde
PERVARİ KG DB SK;1;0;0;0;0.0;0.0
KRALDOĞAN KG SK;1;0;0;0;0.0;0.0
KORKMAZ KARDEŞLER KG DB SK;1;1;0;0;100.0;100.0
SYNDICATION DB SK ÖG;1;0;1;0;0.0;100.0
SINCERO KG DB SK;1;0;0;1;0.0;100.0
BAKTAGÖR DB SK;1;0;0;0;0.0;0.0
NOVA SUN KG K;1;0;0;0;0.0;0.0
ALTUNCAN SKG SK;1;0;0;0;0.0;0.0
THON KHITCHIBA KG SK;1;0;0;0;0.0;0.0
ZOGO AKIN KG DB SK (Koşmaz);1;0;0;0;0.0;0.0
STARŞAH KG K;1;1;0;0;100.0;100.0
BİLDENKIZIM KG K DB;1;0;1;0;0.0;100.0
PİRİM ÖZER KG SK;1;0;0;1;0.0;100.0
EMOHELİL KG K;1;0;0;0;0.0;0.0
İLKBAHAR KIZI KG K DB;1;0;0;0;0.0;0.0
URFA KAPLANI KG K;1;0;0;0;0.0;0.0
VARTUHİM KG K;1;0;0;0;0.0;0.0
YAĞMUR ECE SKG SK;1;0;0;0;0.0;0.0
ÇATALCALI KG SK;1;0;0;0;0.0;0.0
LAVİN DENİZİ KG SK;1;0;0;0;0.0;0.0
ALİZE RÜZGARI;1;0;0;0;0.0;0.0
OĞUZ BAŞKAN SKG SK;1;1;0;0;100.0;100.0
SILENCE OF REALITY DB;1;0;1;0;0.0;100.0
BODEXCEPTIONAL DB SK;1;0;0;1;0.0;100.0
CHİKYU SKG SK;1;0;0;0;0.0;0.0
İŞKODRALI SKG SK;1;0;0;0;0.0;0.0
CHARLIE BROWN KG DB SK;1;0;0;0;0.0;0.0
AFTER LION KG DB SK;1;0;0;0;0.0;0.0
ÜÇNUR K DB;1;0;0;0;0.0;0.0
ÜNLÜ AĞAM KG DB SK;1;0;0;0;0.0;0.0
FANTASTIC FLAME DB SKG SK;1;0;0;0;0.0;0.0
LATİF AĞA KG K DB;1;0;0;0;0.0;0.0
NOBLE CHILD DB SKG SK;1;0;0;0;0.0;0.0
SAVAŞÇI BEDİR KG K;1;1;0;0;100.0;100.0
BARLABEY KG K;1;0;1;0;0.0;100.0
AKSA ASLANI KG K;1;0;0;1;0.0;100.0
LADY BRIDGERTON KG K DB;1;0;0;0;0.0;0.0
ASALET SAHİBİ KG SK;1;0;0;0;0.0;0.0
GÜL MEVSİMİ KG K;1;0;0;0;0.0;0.0
ALAKARTAL KG SK;1;0;0;0;0.0;0.0
DİKKALDIRIM KG SK;1;0;0;0;0.0;0.0
TURQUOİSE KG K;1;0;0;0;0.0;0.0
KRAL KADİR KG K;1;0;0;0;0.0;0.0
KOLAYSA YAKALA KG K;1;0;0;0;0.0;0.0
BARLİN AĞA KG K (Koşmaz);1;0;0;0;0.0;0.0
SAVE YOUR TEARS SK;1;1;0;0;100.0;100.0
SHENRON K;1;0;1;0;0.0;100.0
FLOWING FLOOD KG DB SK;1;0;0;1;0.0;100.0
ALİN ECE K;1;0;0;0;0.0;0.0
YOU AND ME DB SKG SK;1;0;0;0;0.0;0.0
BEAUSOLEIL DB SK;1;0;0;0;0.0;0.0
VASILISA K DB;1;0;0;0;0.0;0.0
RAYNE SK;1;0;0;0;0.0;0.0
TOUCH MY DREAM DB SK (Koşmaz);1;0;0;0;0.0;0.0
BREATHLESS KG K DB;1;1;0;0;100.0;100.0
BIG AVALANCHE DB SK;1;0;1;0;0.0;100.0
MY DEAR DREAM KG DB SK;1;0;0;1;0.0;100.0
ŞEKERKIZ KG DB SK;1;0;0;0;0.0;0.0
BOLUN SK;1;0;0;0;0.0;0.0
EL ALACRAN KG K DB;1;0;0;0;0.0;0.0
